score	address	name	body_bytes	evidence	reviewed	compat_modeled	default_name	product_string_count	business_neighbor_count	callers	callees	example_string	file
189	103d7f3c	dt_start_voiceprint	206	product_name,focus_export,semantic_review	1	0	0	0	3	1	10		functions/103d7f3c_dt_start_voiceprint.c
189	103e56f4	dt_tcp_server_stop	148	product_name,focus_export,semantic_review	1	0	0	0	3	1	5		functions/103e56f4_dt_tcp_server_stop.c
189	103e6d10	dt_tcp_send_response	168	product_name,focus_export,semantic_review	1	0	0	0	3	2	5		functions/103e6d10_dt_tcp_send_response.c
188	103c5348	dt_light_ui_init	84	product_name,focus_export,semantic_review	1	0	0	0	3	1	5		functions/103c5348_dt_light_ui_init.c
188	103c6ab0	dt_stream_trans_get_info	72	product_name,focus_export,semantic_review	1	0	0	0	3	2	1		functions/103c6ab0_dt_stream_trans_get_info.c
188	103db5ec	dt_ble_update_adv_cnt	90	product_name,focus_export,semantic_review	1	0	0	0	3	2	3		functions/103db5ec_dt_ble_update_adv_cnt.c
187	103e04f0	dt_display_show_private_icon	54	product_name,focus_export,semantic_review	1	0	0	0	3	2	3		functions/103e04f0_dt_display_show_private_icon.c
187	103e2970	dt_hid_process_packet_fragment	592	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	2	0	9		functions/103e2970_dt_hid_process_packet_fragment.c
187	103e2c1c	dt_hid_usb_is_connecting	54	product_name,focus_export,semantic_review	1	0	0	0	3	2	2		functions/103e2c1c_dt_hid_usb_is_connecting.c
186	103ebb20	dtiot_wifi_ap_create	598	product_name,product_string,semantic_review	1	0	0	5	3	2	19	Create Wifi AP %s ...\r\n	functions/103ebb20_dtiot_wifi_ap_create.c
185	103c6c4c	dt_stream_send	252	product_name,focus_export,semantic_review	1	0	0	0	2	0	6		functions/103c6c4c_dt_stream_send.c
185	103c7df0	dt_vibrate_once	14	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	3	4	1		functions/103c7df0_dt_vibrate_once.c
185	103c84ac	dt_wifi_get_ip	170	product_name,focus_export,semantic_review	1	0	0	0	2	1	6		functions/103c84ac_dt_wifi_get_ip.c
185	103d9d84	dt_audio_frameheader_decode	474	product_name,product_string,semantic_review	1	0	0	5	3	1	3	[dt_try_remark_audio_frame] offset: %llu, frame_header_size: %d, start_bits: %d, end_bits: %d\r\n	functions/103d9d84_dt_audio_frameheader_decode.c
185	103db90c	dt_ble_mobile_phone_model	204	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	2	1	3		functions/103db90c_dt_ble_mobile_phone_model.c
185	103dc3d4	dt_ble_connect_params_adjust	224	product_name,focus_export,semantic_review	1	0	0	0	2	1	6		functions/103dc3d4_dt_ble_connect_params_adjust.c
185	103ddac8	dt_display_create_test_image_file	152	product_name,focus_export,semantic_review	1	0	0	0	2	1	3		functions/103ddac8_dt_display_create_test_image_file.c
184	103db864	dt_ble_get_conn_device_by_addr	94	product_name,focus_export,semantic_review	1	0	0	0	2	1	3		functions/103db864_dt_ble_get_conn_device_by_addr.c
184	103dc514	dt_ble_get_connect_info	126	product_name,focus_export,semantic_review	1	0	0	0	2	1	4		functions/103dc514_dt_ble_get_connect_info.c
184	103e2d48	dt_hid_packet_thread_deinit	82	product_name,focus_export,semantic_review	1	0	0	0	2	1	8		functions/103e2d48_dt_hid_packet_thread_deinit.c
184	103e5514	dt_tcp_server_init	78	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	2	1	3		functions/103e5514_dt_tcp_server_init.c
183	1030bc4c	FUN_1030bc4c	324	product_string,focus_export	0	0	1	2	1	1	2	  init           - Test DTIOT HAL initialization/deinitialization	functions/1030bc4c_FUN_1030bc4c.c
183	103db654	dt_ble_print_adv_cnt	48	product_name,focus_export,semantic_review	1	0	0	0	2	1	1		functions/103db654_dt_ble_print_adv_cnt.c
183	103dc024	notify_characteristic_changed_with_addr	270	product_string,focus_export,semantic_review	1	0	0	1	3	1	8	dtiot_hal_bt_send failed ret:%d len %d\n	functions/103dc024_notify_characteristic_changed_with_addr.c
183	103e2928	dt_hid_reset_receive_state	58	product_name,focus_export,semantic_review	1	0	0	0	2	1	3		functions/103e2928_dt_hid_reset_receive_state.c
