offsets	literal	sources
0x0024d781	COMPLETED	arch/sim/src/sim/sim_wifidriver.c
0x0026ebd3	CPU architecture: %s	arch/arm/src/armv6-m/arm_cpuinfo.c|arch/arm/src/armv7-a/arm_cpuinfo.c|arch/arm/src/armv7-m/arm_cpuinfo.c|arch/arm/src/armv7-r/arm_cpuinfo.c|arch/arm/src/armv8-m/arm_cpuinfo.c|arch/arm/src/armv8-r/arm_cpuinfo.c
0x0026ebf9	CPU implementer	arch/arm/src/armv6-m/arm_cpuinfo.c|arch/arm/src/armv7-a/arm_cpuinfo.c|arch/arm/src/armv7-m/arm_cpuinfo.c|arch/arm/src/armv7-r/arm_cpuinfo.c|arch/arm/src/armv8-m/arm_cpuinfo.c|arch/arm/src/armv8-r/arm_cpuinfo.c
0x0026ec27	CPU part	arch/arm/src/armv6-m/arm_cpuinfo.c|arch/arm/src/armv7-a/arm_cpuinfo.c|arch/arm/src/armv7-m/arm_cpuinfo.c|arch/arm/src/armv7-r/arm_cpuinfo.c|arch/arm/src/armv8-m/arm_cpuinfo.c|arch/arm/src/armv8-r/arm_cpuinfo.c
0x0026ec3a	CPU revision	arch/arm/src/armv6-m/arm_cpuinfo.c|arch/arm/src/armv7-a/arm_cpuinfo.c|arch/arm/src/armv7-m/arm_cpuinfo.c|arch/arm/src/armv7-r/arm_cpuinfo.c|arch/arm/src/armv8-m/arm_cpuinfo.c|arch/arm/src/armv8-r/arm_cpuinfo.c
0x0026ec13	CPU variant	arch/arm/src/armv6-m/arm_cpuinfo.c|arch/arm/src/armv7-a/arm_cpuinfo.c|arch/arm/src/armv7-m/arm_cpuinfo.c|arch/arm/src/armv7-r/arm_cpuinfo.c|arch/arm/src/armv8-m/arm_cpuinfo.c|arch/arm/src/armv8-r/arm_cpuinfo.c
0x0026e16c	DOMAIN%-2d                  STATE          COUNT          TIME	drivers/power/pm/pm_procfs.c
0x0026e1c6	DOMAIN%-2d                  WAKE           SLEEP          TOTAL	drivers/power/pm/pm_procfs.c
0x0027b0b0	DRaddr:%s 	net/procfs/netdev_statistics.c
0x0026e664	December	libs/libc/locale/lib_langinfo.c|libs/libc/time/lib_strftime.c|libs/libc/time/lib_strptime.c
0x0027b203	Dropped    	net/procfs/net_statistics.c
0x0026a216	Dump rpmsg info between cpu (master: %s)%s <==> %s:	drivers/rptun/rptun.c|drivers/rptun/rptun_dump.c
0x0026f2ca	ERROR: Failed to allocate memory	binfmt/libelf/libelf_read.c|libs/libc/hex2bin/lib_hex2bin.c
0x0026f69f	ERROR: Unrecognized option	tools/zds/zdsar.c
0x0026bdd4	ERROR: bind() failed: %d	fs/userfs/fs_userfs.c|libs/libc/userfs/lib_userfs.c
0x0026bdb8	ERROR: socket() failed: %d	fs/userfs/fs_userfs.c|libs/libc/netdb/lib_dnsbind.c|libs/libc/userfs/lib_userfs.c
0x0026eb58	Features	arch/arm/src/armv6-m/arm_cpuinfo.c|arch/arm/src/armv7-a/arm_cpuinfo.c|arch/arm/src/armv7-m/arm_cpuinfo.c|arch/arm/src/armv7-r/arm_cpuinfo.c|arch/arm/src/armv8-m/arm_cpuinfo.c|arch/arm/src/armv8-r/arm_cpuinfo.c
0x0026e61f	February	libs/libc/time/lib_strftime.c|libs/libc/time/lib_strptime.c
0x0026d2a6	HeapCheck:	fs/procfs/fs_procfsproc.c
0x0026c1a2	IEEE 802.11	net/netdev/netdev_ioctl.c
0x000016ef	Idle_Task	sched/init/nx_start.c
0x0026dfa7	Inactive	sched/sched/sched_get_stateinfo.c
0x0026d2fb	Main task:	fs/procfs/fs_procfsproc.c
0x0026d324	Member IDs:	fs/procfs/fs_procfsproc.c
0x0026d31b	Members:	fs/procfs/fs_procfsproc.c
0x0026e65b	November	libs/libc/locale/lib_langinfo.c|libs/libc/time/lib_strftime.c|libs/libc/time/lib_strptime.c
0x0026d262,0x00293212	Priority:	fs/procfs/fs_procfsproc.c
0x0027b20f	Received   	net/procfs/net_statistics.c
