object	symbol	size	relocations	image_offset	address
hal_usb.o	hal_usb_reset_all_transfers	50	9	0x000c6ec0	0x10256ec0
hal_usb.o	hal_usb_send_ep0	72	5	0x000c6ef4	0x10256ef4
hal_usb.o	hal_usb_pin_status_resume	60	7	0x000c6f8c	0x10256f8c
hal_usb.o	hal_usb_stop_clock	72	6	0x000c6fc8	0x10256fc8
hal_usb.o	enable_usb_irq	44	3	0x000c7010	0x10257010
hal_usb.o	hal_usb_recv_ep0	72	3	0x000c703c	0x1025703c
hal_usb.o	hal_usb_stop_usbdev_timer	32	3	0x000c730c	0x1025730c
hal_usb.o	hal_usb_pin_check_cancel_resume	88	9	0x000c732c	0x1025732c
hal_usb.o	hal_usb_ep0_status_stage.isra.0	44	1	0x000c7384	0x10257384
hal_usb.o	hal_usb_close	136	12	0x000c843c	0x1025843c
